Column1,Age,SkinType,SkinTone,SkinConcerns,Gender,Race,Climate,Extracts,All_Age_Suitable_Ing,Anti-Acne Moisturizer,Antioxidant+Anti-Aging Moisturizer,F_Skin_ID+Soothing,M_Antioxidant+Occlusive,EA_Anti_Age+Skin_ID+Cell_Commute,IA_Antioxidant,YA_Occusive,BR_Anti_Acne,WR_Skin_ID+Occusive,DRY_Dry,TROPICAL_Antioxidant+Humectant,TEMPERATE_Humectant,CONTINENAL_Emolient,POLAR_Humectants+Occlusive+Emollients
0,18-24,Combination,Medium,Acne,Male,White,Tropical,Aloe Barbadensis Leaf Extract,"Grape seed Oil , Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil","Centella Asiatica Extract , Honey , Jojoba Esters",,,"Tribehenin , Phospholipids , Niacinamide , Nylon-12 , Carnosine , Madecassoside",,,"Squalane , Aphanizomenon Flos-Aquae Extract , Ceramide",,"valine , aspartic acid , Tribehenin",,"Hydroxyacetophenone , Niacinamide , Serine",,,
1,18-24,Combination,Medium,Acne,Male,White,Dry,Aloe Barbadensis Leaf Extract,"Raspberry Seed Oil , Triticum Vulgare Germ Oil , Camellia Sinensis Seed Oil","Centella Asiatica Extract , Soy Amino Acids , Aphanizomenon Flos-Aquae Extract",,,"Madecassoside , Oryzanol , Threonine , Tetrahydrodiferuloylmethane , Agar , Beta-Glucan",,,"Algae Extract , Tocopheryl Succinate Aminopropanediol Esters , Squalane",,"ceramide np , acetyl glucosamine , linoleic acid","Grape seed Oil , Camellia Sinensis Seed Oil , Ceramide NG",,,,
2,18-24,Combination,Medium,Acne,Male,White,Temperate,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Grape seed Oil , Triticum Vulgare Germ Oil","Jojoba Esters , Ananas Sativus Fruit Extract , Alteromonas Ferment Filtrate",,,"Trilaurin , Kaolin , Octyldodecanol , Trihydroxystearin , Cannabidiol , Ergothioneine",,,"Grape seed Oil , Hyaluronic Acid , Squalane",,"pca , Octyldodecanol , Trilaurin",,,"Niacinamide , Honey , Hydroxyacetophenone",,
3,18-24,Combination,Medium,Acne,Male,White,Continental,Aloe Barbadensis Leaf Extract,"Raspberry Seed Oil , Grape seed Oil , Rose Hip Oil","Alteromonas Ferment Filtrate , Centella Asiatica Extract , Colloidal Oatmeal",,,"Lycopene , Triethylhexanoin , Alanine , Cannabidiol , Beta-Glucan , Serine",,,"Ananas Sativus Fruit Extract , Aphanizomenon Flos-Aquae Extract , Rose Hip Oil",,"hyaluronic acid , sodium chondroitin sulfate , Tribehenin",,,,"Cyclopentasiloxane , Phytosphingosine , Dimethiconol",
4,18-24,Combination,Medium,Acne,Male,White,Polar,Aloe Barbadensis Leaf Extract,"Triticum Vulgare Germ Oil , Rose Hip Oil , Camellia Sinensis Seed Oil","Colloidal Oatmeal , Alteromonas Ferment Filtrate , Beta-Glucan",,,"Petrolatum , Silica , Cannabidiol , Rutin , Equol , Phloretin",,,"Camellia Sinensis Seed Oil , Tocopheryl Succinate Aminopropanediol Esters , Algae Extract",,"ceramide eop , collagen amino acids , ceramide",,,,,"Cyclohexasiloxane , Xylitol , Glycosaminoglycans"
5,18-24,Combination,Medium,Acne,Male,Black,Tropical,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Triticum Vulgare Germ Oil , Raspberry Seed Oil","Alteromonas Ferment Filtrate , Hyaluronic Acid , Adansonia Digitata Pulp Extract",,,"Madecassoside , Azulene , Oryzanol , Trilaurin , Astaxanthin , Lycopene",,,"Tocopheryl Succinate Aminopropanediol Esters , Ananas Sativus Fruit Extract , Rose Hip Oil","Adansonia Digitata Pulp Extract , Centella Asiatica Extract , Beta-Glucan",,,"Hydroxyacetophenone , Niacinamide , Phenylalanine",,,
6,18-24,Combination,Medium,Acne,Male,Black,Dry,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Grape seed Oil , Raspberry Seed Oil","Hyaluronic Acid , Aloe Barbadensis Leaf Extract , Centella Asiatica Extract",,,"Tocopherol , Coumarin , Genistein , Bisabolol , Kaolin , Phloretin",,,"Algae Extract , Aphanizomenon Flos-Aquae Extract , Tocopheryl Succinate Aminopropanediol Esters","Honey , Ceramide , Acetyl Hydroxyproline",,"Algae Extract , Ceramide NG , Centella Asiatica Extract",,,,
7,18-24,Combination,Medium,Acne,Male,Black,Temperate,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Triticum Vulgare Germ Oil","Ananas Sativus Fruit Extract , Hyaluronic Acid , Alteromonas Ferment Filtrate",,,"Phloretin , Algin , Bentonite , Ubiquinone , Quercetin , Agar",,,"Ananas Sativus Fruit Extract , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Hyaluronic Acid","Tocopheryl Succinate Aminopropanediol Esters , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Ceramide",,,,"Hydroxyacetophenone , Sucrose , Triethylhexanoin",,
8,18-24,Combination,Medium,Acne,Male,Black,Continental,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Triticum Vulgare Germ Oil","Adansonia Digitata Pulp Extract , Beta-Glucan , Alteromonas Ferment Filtrate",,,"Bentonite , Oryzanol , Phloretin , Thiotaurine , Algin , Astaxanthin",,,"Honey , Rose Hip Oil , Squalane","Honey , Hyaluronic Acid , Acetyl Hydroxyproline",,,,,"Pantolactone , Niacinamide , Sucrose",
9,18-24,Combination,Medium,Acne,Male,Black,Polar,Aloe Barbadensis Leaf Extract,"Camellia Sinensis Seed Oil , Raspberry Seed Oil , Rose Hip Oil","Adansonia Digitata Pulp Extract , Ananas Sativus Fruit Extract , Aphanizomenon Flos-Aquae Extract",,,"Tocopherol , Trilaurin , Cannabidiol , Coumarin , Serine , Azulene",,,"Rose Hip Oil , Tocopheryl Succinate Aminopropanediol Esters , Aphanizomenon Flos-Aquae Extract","Honey , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Triticum Vulgare Germ Oil",,,,,,"Panthenol , Tribehenin , Isopentyldiol "
10,18-24,Combination,Medium,Acne,Female,White,Tropical,Aloe Barbadensis Leaf Extract,"Raspberry Seed Oil , Triticum Vulgare Germ Oil , Rose Hip Oil","Honey , Hyaluronic Acid , Adansonia Digitata Pulp Extract",,"papaver rhoeas petal extract , silybum marianum extract , iron picolinate , achillea millefolium extract , tasmannia lanceolata fruit/leaf extract , buddleja davidii meristem cell culture",,,,"Acetyl Hydroxyproline , Triticum Vulgare Germ Oil , Grape seed Oil",,"urea , Trimethylsiloxysilicate , sodium pca",,"Hydroxyacetophenone , Arginine , Threonine",,,
11,18-24,Combination,Medium,Acne,Female,White,Dry,Aloe Barbadensis Leaf Extract,"Raspberry Seed Oil , Camellia Sinensis Seed Oil , Rose Hip Oil","Hyaluronic Acid , Beta-Glucan , Honey",,"buddleja davidii meristem cell culture , proline , centaurea cyanus flower water , pfaffia paniculata root extract , phenylalanine , acanthopanax senticosus root extract",,,,"Tocopheryl Succinate Aminopropanediol Esters , Hydrolyzed Tremella Fuciformis Sporocarp Extract , Algae Extract",,"Petrolatum , isoleucine , linolenic acid","Hyaluronic Acid , Panthenol , Ceramide NG",,,,
